"P1_x","P1_y"
0.0486,0.442393575
0.0487,0.443077353
0.0488,0.443771573
0.0489,0.444475099
0.049,0.445186779
0.0491,0.445905452
0.0492,0.44662995
0.0493,0.447359097
0.0494,0.448091711
0.0495,0.448826609
0.0496,0.449562607
0.0497,0.450298521
0.0498,0.451033169
0.0499,0.451765373
0.05,0.452493965
0.0501,0.453217781
0.0502,0.453935669
0.0503,0.454646487
0.0504,0.455349109
0.0505,0.456042423
0.0506,0.456725333
0.0507,0.457396763
0.0508,0.458055657
0.0509,0.45870098
0.051,0.459331722
0.0511,0.459946896
0.0512,0.460545543
0.0513,0.461126732
0.0514,0.46168956
0.0515,0.462233156
0.0516,0.46275668
0.0517,0.463259326
0.0518,0.463740322
0.0519,0.46419893
0.052,0.464634452
0.0521,0.465046223
0.0522,0.465433621
0.0523,0.465796059
0.0524,0.466132993
0.0525,0.46644392
0.0526,0.466728377
0.0527,0.466985942
0.0528,0.467216239
0.0529,0.467418933
0.053,0.467593732
0.0531,0.467740389
0.0532,0.4678587
0.0533,0.467948506
0.0534,0.468009693
0.0535,0.468042188
0.0536,0.468045967
0.0537,0.468021046
0.0538,0.467967488
0.0539,0.467885397
0.054,0.467774924
0.0541,0.467636259
0.0542,0.467469638
0.0543,0.467275337
0.0544,0.467053675
0.0545,0.466805011
0.0546,0.466529744
0.0547,0.466228314
0.0548,0.465901197
0.0549,0.46554891
0.055,0.465172004
0.0551,0.464771067
0.0552,0.464346724
0.0553,0.463899629
0.0554,0.463430474
0.0555,0.462939979
0.0556,0.462428895
0.0557,0.461898002
0.0558,0.46134811
0.0559,0.460780052
0.056,0.460194689
0.0561,0.459592904
0.0562,0.458975602
0.0563,0.458343711
0.0564,0.457698176
0.0565,0.457039962
0.0566,0.456370049
0.0567,0.455689433
0.0568,0.454999121
0.0569,0.454300135
0.057,0.453593505
0.0571,0.45288027
0.0572,0.452161476
0.0573,0.451438175
0.0574,0.450711424
0.0575,0.449982279
0.0576,0.449251799
0.0577,0.448521041
0.0578,0.447791062
0.0579,0.447062912
0.058,0.446337636
0.0581,0.445616274
0.0582,0.444899854
0.0583,0.444189396
0.0584,0.443485909
0.0585,0.442790386
0.0586,0.442103808
0.0587,0.44142714
0.0588,0.440761327
0.0589,0.440107299
0.059,0.439465962
0.0591,0.438838204
0.0592,0.438224889
0.0593,0.437626855
0.0594,0.43704492
0.0595,0.43647987
0.0596,0.435932468
0.0597,0.435403446
0.0598,0.434893509
0.0599,0.434403329
0.06,0.433933548
0.0601,0.433484776
0.0602,0.433057589
0.0603,0.432652531
0.0604,0.432270108
0.0605,0.431910794
0.0606,0.431575025
0.0607,0.431263203
0.0608,0.43097569
0.0609,0.430712812
0.061,0.430474857
0.0611,0.430262075
0.0612,0.430074676
0.0613,0.429912834
0.0614,0.429776681
0.0615,0.429666311
0.0616,0.42958178
0.0617,0.429523102
0.0618,0.429490255
0.0619,0.429483176
0.062,0.429501762
0.0621,0.429545875
0.0622,0.429615336
0.0623,0.429709926
0.0624,0.429829393
0.0625,0.429973445
0.0626,0.430141753
0.0627,0.430333952
