"P1_x","P1_y"
0.057,0.3786858387,
0.0571,0.3788029305,
0.0572,0.3789192379,
0.0573,0.3790347785,
0.0574,0.3791495708,
0.0575,0.3792636338,
0.0576,0.3793769871,
0.0577,0.3794896509,
0.0578,0.3796016461,
0.0579,0.379712994,
0.058,0.3798237165,
0.0581,0.3799338362,
0.0582,0.3800433759,
0.0583,0.3801523592,
0.0584,0.3802608099,
0.0585,0.3803687523,
0.0586,0.3804762112,
0.0587,0.3805832118,
0.0588,0.3806897795,
0.0589,0.3807959403,
0.059,0.3809017204,
0.0591,0.3810071462,
0.0592,0.3811122447,
0.0593,0.3812170428,
0.0594,0.3813215678,
0.0595,0.3814258473,
0.0596,0.381529909,
0.0597,0.3816337808,
0.0598,0.3817374908,
0.0599,0.381841067,
0.06,0.3819445378,
0.0601,0.3820479315,
0.0602,0.3821512766,
0.0603,0.3822546015,
0.0604,0.3823579347,
0.0605,0.3824613047,
0.0606,0.3825647399,
0.0607,0.3826682687,
0.0608,0.3827719195,
0.0609,0.3828757205,
0.061,0.3829796999,
0.0611,0.3830838856,
0.0612,0.3831883056,
0.0613,0.3832929875,
0.0614,0.383397959,
0.0615,0.3835032472,
0.0616,0.3836088792,
0.0617,0.383714882,
0.0618,0.3838212821,
0.0619,0.3839281059,
0.062,0.3840353793,
0.0621,0.384143128,
0.0622,0.3842513775,
0.0623,0.3843601528,
0.0624,0.3844694786,
0.0625,0.3845793792,
0.0626,0.3846898785,
0.0627,0.3848010001,
0.0628,0.3849127671,
0.0629,0.3850252022,
0.063,0.3851383276,
0.0631,0.3852521651,
0.0632,0.3853667361,
0.0633,0.3854820615,
0.0634,0.3855981616,
0.0635,0.3857150564,
0.0636,0.3858327652,
0.0637,0.3859513069,
0.0638,0.3860706998,
0.0639,0.3861909618,
0.064,0.3863121102,
0.0641,0.3864341616,
0.0642,0.3865571324,
0.0643,0.3866810381,
0.0644,0.3868058938,
0.0645,0.386931714,
0.0646,0.3870585127,
0.0647,0.3871863031,
0.0648,0.3873150981,
0.0649,0.3874449099,
0.065,0.38757575,
0.0651,0.3877076295,
0.0652,0.3878405587,
0.0653,0.3879745476,
0.0654,0.3881096053,
0.0655,0.3882457405,
0.0656,0.3883829612,
0.0657,0.3885212749,
0.0658,0.3886606885,
0.0659,0.3888012081,
0.066,0.3889428395,
0.0661,0.3890855877,
0.0662,0.3892294574,
0.0663,0.3893744522,
0.0664,0.3895205757,
0.0665,0.3896678306,
0.0666,0.389816219,
0.0667,0.3899657426,
0.0668,0.3901164024,
0.0669,0.3902681989,
0.067,0.3904211321,
0.0671,0.3905752014,
0.0672,0.3907304055,
0.0673,0.3908867429,
0.0674,0.3910442113,
0.0675,0.391202808,
0.0676,0.3913625297,
0.0677,0.3915233727,
0.0678,0.3916853327,
0.0679,0.3918484049,
0.068,0.3920125842,
0.0681,0.3921778648,
0.0682,0.3923442406,
0.0683,0.3925117049,
0.0684,0.3926802506,
0.0685,0.3928498702,
0.0686,0.3930205558,
0.0687,0.393192299,
0.0688,0.3933650909,
0.0689,0.3935389225,
0.069,0.3937137841,
0.0691,0.3938896657,
0.0692,0.3940665571,
0.0693,0.3942444476,
0.0694,0.394423326,
0.0695,0.3946031811,
0.0696,0.3947840011,
0.0697,0.394965774,
0.0698,0.3951484875,
0.0699,0.3953321288,
0.07,0.3955166852,
0.0701,0.3957021433,
0.0702,0.3958884898,
0.0703,0.396075711,
0.0704,0.3962637928,
0.0705,0.3964527212,
0.0706,0.3966424816,
0.0707,0.3968330596,
0.0708,0.3970244402,
0.0709,0.3972166085,
0.071,0.3974095493,
0.0711,0.3976032473,
0.0712,0.397797687,
0.0713,0.3979928527,
0.0714,0.3981887287,
0.0715,0.3983852992,
0.0716,0.398582548,
0.0717,0.3987804591,
0.0718,0.3989790163,
0.0719,0.3991782033,
0.072,0.3993780038,
0.0721,0.3995784014,
0.0722,0.3997793797,
0.0723,0.399980922,
0.0724,0.400183012,
0.0725,0.4003856331,
0.0726,0.4005887686,
0.0727,0.4007924022,
0.0728,0.4009965171,
0.0729,0.401201097,
0.073,0.4014061252,
0.0731,0.4016115854,
0.0732,0.401817461,
0.0733,0.4020237358,
0.0734,0.4022303933,
0.0735,0.4024374175,
0.0736,0.402644792,
0.0737,0.4028525008,
0.0738,0.4030605279,
0.0739,0.4032688575,
0.074,0.4034774737,
0.0741,0.4036863609,
0.0742,0.4038955036,
0.0743,0.4041048862,
0.0744,0.4043144936,
0.0745,0.4045243106,
0.0746,0.4047343222,
0.0747,0.4049445136,
0.0748,0.40515487,
0.0749,0.4053653771,
0.075,0.4055760204,
0.0751,0.4057867858,
0.0752,0.4059976593,
0.0753,0.4062086271,
0.0754,0.4064196756,
0.0755,0.4066307915,
0.0756,0.4068419615,
0.0757,0.4070531727,
0.0758,0.4072644122,
0.0759,0.4074756675,
0.076,0.4076869262,
0.0761,0.4078981763,
0.0762,0.4081094058,
0.0763,0.4083206031,
0.0764,0.4085317567,
0.0765,0.4087428555,
0.0766,0.4089538884,
0.0767,0.4091648447,
0.0768,0.409375714,
0.0769,0.409586486,
0.077,0.4097971508,
0.0771,0.4100076985,
0.0772,0.4102181198,
0.0773,0.4104284054,
0.0774,0.4106385462,
0.0775,0.4108485337,
0.0776,0.4110583592,
0.0777,0.4112680147,
0.0778,0.4114774921,
0.0779,0.4116867838,
0.078,0.4118958824,
0.0781,0.4121047806,
0.0782,0.4123134716,
0.0783,0.4125219487,
0.0784,0.4127302056,
0.0785,0.4129382361,
0.0786,0.4131460343,
0.0787,0.4133535947,
0.0788,0.4135609119,
0.0789,0.4137679808,
0.079,0.4139747967,
0.0791,0.4141813549,
0.0792,0.4143876512,
0.0793,0.4145936814,
0.0794,0.4147994419,
0.0795,0.415004929,
0.0796,0.4152101395,
0.0797,0.4154150703,
0.0798,0.4156197186,
0.0799,0.415824082,
0.08,0.4160281581,
0.0801,0.4162319449,
0.0802,0.4164354405,
0.0803,0.4166386434,
0.0804,0.4168415522,
0.0805,0.417044166,
0.0806,0.4172464837,
0.0807,0.4174485048,
0.0808,0.4176502289,
0.0809,0.4178516559,
0.08101,0.4180728823,
0.08111,0.4182736856,
0.08121,0.4184741926,
